Global_ID,S.No,Report Year,Incident Number,Grade Crossing ID,Date,AM/PM,Time,County Code,County Name,State Code,State Name,Highway User,Vehicle Direction Code,Vehicle Direction,Highway User Position Code,Highway User Position,Second Highway User,Second Vehicle Direction Code,Second Vehicle Direction,Temperature,Visibility Code,Visibility,Weather Condition Code,Weather Condition,Track Type Code,Track Type,Crossing Warning Expanded 1,Crossing Warning Expanded 2,Crossing Warning Expanded 3,Crossing Warning Expanded 4,Crossing Warning Expanded 5,Crossing Warning Expanded 6,Crossing Warning Expanded 7,Roadway Condition,Crossing Warning Location Code,Crossing Warning Location,User Age,User Sex,Highway User Action Code,Highway User Action,Estimated Vehicle Speed,Train Speed,Estimated/Recorded Speed,Vehicle Damage Cost,Narrative,Total Killed Form 57,Total Injured Form 57
1,1,2025,1125NC016,760980H,2025-11-18,PM,02:23 PM,39.0,MADERA,6.0,CALIFORNIA,Pedestrian,3,East,2.0,Stopped on crossing,,,,56.0,2.0,Day,1.0,Clear,1.0,Main,Gates,Cantilever FLS,Standard FLS,Audible,,,,Dry,1,Both sides,52.0,Male,4.0,Stopped on crossing,0.0,50.0,,0.0,"ZLCTM-18, UP3035 HEADING NORTHBOUND STRUCK AND FATALLY INJURED A TRESPASSER SITTING ON TRACK.  CREWIS OK.HIGHWAY USER'S ACTIONS:STOPPED ON CROSSING (BEFORE GATES DESCENDED).",1,0
2,2,2014,20141206,661827U,2014-12-06,PM,07:05 PM,73.0,SAN DIEGO,6.0,CALIFORNIA,Truck,1,North,3.0,Moving over crossing,,,,59.0,4.0,Dark,1.0,Clear,1.0,Main,Hwy. traffic signals,,,,,,,Dry,2,Side of vehicle approach,56.0,Male,3.0,Did not stop,30.0,20.0,,15000.0,"ON DECEMBER 6, 2014 AT APPROXIMATELY 7:04PM, THE OPERATIONS CONTROL CENTER WAS NOTIFIED OF AN ACCIDENT AT THE INTERSECTION OF COMMERCIAL AND 19TH STREET BETWEEN AN AUTOMOBILE AND TRAIN #51 (4008-4045).  THE TRAIN OPERATOR REPORTED THAT AN AUTOMOBILE ON 19TH STREET RAN A RED LIGHT IN FRONT OF THE TRAIN. THE TRAIN OPERATOR SOUNDED THE FEDERAL HORN AND APPLIED THE EMERGENCY BRAKE BUT WAS UNABLE TO AVOID CONTACT WITH THE AUTOMOBILE.  NO INJURIES WERE REPORTED.",0,0
3,3,2015,137200,751258P,2015-04-27,PM,09:39 PM,95.0,SOLANO,6.0,CALIFORNIA,Auto,1,North,3.0,Moving over crossing,,,,50.0,4.0,Dark,2.0,Cloudy,1.0,Main,Gates,Cantilever FLS,Standard FLS,Audible,Crossbucks,,,Dry,1,Both sides,,,1.0,Went around the gate,25.0,70.0,,10000.0,"TRAIN 551 OPERATING WITH LOCOMOTIVE E/11 AND 4 CARS STRUCK AN OCCUPIED AUTOMOBILE AT MP62.40, FOX RDCROSSING.  AMTRAKS EQUIPMENT DAMAGE IS $9,382.00.",1,1
4,4,2015,SJV709015G,756762U,2015-03-12,AM,06:12 AM,107.0,TULARE,6.0,CALIFORNIA,Pick-up truck,4,West,3.0,Moving over crossing,,,,55.0,1.0,Dawn,4.0,Fog,1.0,Main,Crossbucks,,,,,,,Dry,1,Both sides,48.0,Male,3.0,Did not stop,20.0,10.0,,,"ON MARCH 12, 2015 THE SJVR TRAIN DISPATCHER RECEIVED A CALL FROM THE CALIFORNIA HIGHWAY PATROL REPORTING A MOTORIST HAD STRUCK THE REAR CAR OF A TRAIN MOVING THROUGH AVENUE 336. THE DRIVER RECEIVED ACONCUSSION FROM THIS INCIDENT AND NOTIFIED THE RAILROAD OF THE INJURY ON 12/17/2015.",0,1
5,5,2015,CA0115200,028394Y,2015-01-02,AM,10:18 AM,29.0,KERN,6.0,CALIFORNIA,Truck-trailer,4,West,4.0,Trapped on crossing by traffic,,,,65.0,2.0,Day,1.0,Clear,1.0,Main,Gates,Standard FLS,,,,,,Dry,1,Both sides,34.0,Male,5.0,Other,,47.0,,2000.0,41: PRECEDED GATES,0,0
6,6,2015,CA0115201,028325R,2015-01-15,AM,12:15 AM,107.0,TULARE,6.0,CALIFORNIA,Auto,2,South,1.0,Stalled or stuck on crossing,,,,40.0,4.0,Dark,4.0,Fog,1.0,Main,Gates,Standard FLS,,,,,,Wet,1,Both sides,,Female,5.0,Other,0.0,30.0,,2000.0,DRIVER AGE UNKNOWN.  41: UNOCCUPIED VEHICLE,0,0
7,7,2021,20211201A,754867B,2021-12-01,AM,08:50 AM,81.0,SAN MATEO,6.0,CALIFORNIA,Auto,3,East,4.0,Trapped on crossing by traffic,,,,63.0,2.0,Day,1.0,Clear,1.0,Main,Gates,Standard FLS,Audible,Crossbucks,,,,Dry,1,Both sides,,Male,4.0,Stopped on crossing,,62.0,,0.0,"CALTRAIN 705 WAS TRAVELING NORTHBOUND EXPRESSING THROUGH THE SAN BRUNO STATION. AS THEY WERE COMINGOUT OF THE CURVE THE ENGINEER NOTICED A CAR WAS STOPPED ON THE CROSSING AT SCOTT STREET MT-1. THE ENGINEER BLEW HIS HORN SEQUENCE, AS REQUIRED BY GCOR 5.8.2. AS HE WAS DOING SO, THE VEHICLE ON THE TRACKS MADE EVERY ATTEMPT TO GET OFF THE TRACKS. THE DRIVER WAS UNABLE TO NAVIGATE OUT OF THE CROSSING,SO THE DRIVER EXITED THE VEHICLE. TRAIN 705 STRUCK THE CAR AND TRAVELED 1532 FEET BEFORE STOPPING.",0,0
8,8,2021,20211202C,755011Y,2021-12-02,PM,08:04 PM,85.0,SANTA CLARA,6.0,CALIFORNIA,Auto,4,West,1.0,Stalled or stuck on crossing,,,,50.0,4.0,Dark,1.0,Clear,1.0,Main,Gates,Standard FLS,Audible,Crossbucks,,,,Dry,1,Both sides,,Male,4.0,Stopped on crossing,0.0,65.0,,0.0,"AS TRAIN 515 WAS APPROACHING CHARLESTON RD, THE ENGINEER NOTICED A CAR WAS STOPPED ON THE CHARLESTONRD CROSSING. THE ENGINEER STARTED HIS HORN SEQUENCE, AS HE WAS DOING SO TRAIN 515 STRUCK THE VEHICLE AT 8:04PM. AS TRAIN 516 WAS APPROACHING CHARLESTON RD, THE ENGINEER NOTICED A CAR WAS STOPPED ON THE CROSSING AT CHARLESTON RD MT-2. THE VEHICLE HAD JUST BEEN STRUCK BY NB TRAIN 515. THE ENGINEER PUT THE TRAIN INTO EMERGENCY BREAKING AND STARTED HIS HORN SEQUENCE AND STRUCK THE VEHICLE AT 8:06PM.",0,0
9,9,2025,1125NC022,765936M,2025-11-22,PM,11:43 PM,47.0,MERCED,6.0,CALIFORNIA,Auto,3,East,2.0,Stopped on crossing,,,,45.0,4.0,Dark,1.0,Clear,1.0,Main,Gates,Standard FLS,Audible,,,,,Dry,1,Both sides,36.0,Male,4.0,Stopped on crossing,0.0,60.0,,2500.0,"AMIEGR-22, UP6926 COLLIDED WITH AN UNOCCUPIED VEHICLE AT MP 156.7.HIGHWAY USER'S ACTIONS:STOPPED ONCROSSING (BEFORE GATES DESCENDED).",0,1
10,10,2025,1125NC025,749868X,2025-11-26,AM,05:55 AM,1.0,ALAMEDA,6.0,CALIFORNIA,Auto,3,East,2.0,Stopped on crossing,,,,48.0,1.0,Dawn,1.0,Clear,1.0,Main,Gates,Standard FLS,Audible,,,,,Dry,1,Both sides,,,4.0,Stopped on crossing,0.0,6.0,,2500.0,MOAOA-26 WAS APPROACHING KNIGHT STREET AT 13 MPH AND DISCOVERED AN ABANDONED UNOCCUPIED VEHICLE ON THE CROSSING. THEY ATTEMPTED TO STOP THE TRAIN BY PUTTING THEMSELVES INTO EMERGENCY. THEY STRUCK THEVEHICLE GOING NO MORE THAN 5MPH WITH THEIR LEAD UNIT UP6698. THERE WERE NO INJURIES TO THE CREW OR PUBLIC.AGE AND GENDER OF DRIVER UNKNOWN.HIGHWAY USER'S ACTIONS:STOPPED ON CROSSING (BEFORE GATES DESCENDED).,0,0
